Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2021-01-09,@ Appalachian State,0,1,0,0,Georgia Southern vs. Appalachian State,Appalachian State,269.0,77,Georgia Southern,236.0,71,1,6
2021-01-15,@ South Alabama,0,1,0,0,Appalachian State vs. South Alabama,South Alabama,87.0,73,Appalachian State,278.0,64,1,9
2021-01-16,@ South Alabama,0,1,0,0,Appalachian State vs. South Alabama,South Alabama,95.0,77,Appalachian State,281.0,83,0,-6
2021-01-22,@ Appalachian State,0,1,0,0,Georgia State vs. Appalachian State,Appalachian State,277.0,80,Georgia State,14.0,71,1,9
2021-01-23,@ Appalachian State,0,1,0,0,Georgia State vs. Appalachian State,Appalachian State,244.0,74,Georgia State,36.0,61,1,13
2021-01-29,@ Troy,0,1,0,0,Appalachian State vs. Troy,Troy,268.0,71,Appalachian State,225.0,62,1,9
2021-01-30,@ Troy,0,1,0,0,Appalachian State vs. Troy,Troy,277.0,65,Appalachian State,278.0,59,1,6
2021-02-19,@ Appalachian State,0,1,0,0,South Alabama vs. Appalachian State,Appalachian State,274.0,63,South Alabama,76.0,65,0,-2
2021-02-20,@ Appalachian State,0,1,0,0,South Alabama vs. Appalachian State,Appalachian State,259.0,54,South Alabama,87.0,56,0,-2
2021-02-23,@ Georgia State,0,1,0,0,Appalachian State vs. Georgia State,Georgia State,39.0,85,Appalachian State,256.0,71,1,14
2021-02-26,@ Georgia Southern,0,1,0,0,Appalachian State vs. Georgia Southern,Georgia Southern,167.0,78,Appalachian State,258.0,84,0,-6
2021-02-27,@ Georgia Southern,0,1,0,0,Appalachian State vs. Georgia Southern,Georgia Southern,210.0,65,Appalachian State,229.0,57,1,8
2021-03-05,Neutral,1,0,1,0,Appalachian State vs. Little Rock,Little Rock,137.0,60,Appalachian State,304.0,67,0,-7
2021-03-06,Neutral,1,0,1,0,Appalachian State vs. Texas State,Texas State,160.0,73,Appalachian State,274.0,76,0,-3
2021-03-07,Neutral,1,0,1,0,Appalachian State vs. Coastal Carolina,Coastal Carolina,140.0,61,Appalachian State,270.0,64,0,-3
2021-03-08,Neutral,1,0,1,0,Appalachian State vs. Georgia State,Georgia State,42.0,73,Appalachian State,265.0,80,0,-7
2020-11-27,@ Arizona,0,0,0,0,Grambling State vs. Arizona,Arizona,42.0,74,Grambling State,153.0,55,1,19
2020-12-05,@ Arizona,0,0,0,0,Eastern Washington vs. Arizona,Arizona,42.0,70,Eastern Washington,278.0,67,1,3
2020-12-07,@ Arizona,0,0,0,0,Northern Arizona vs. Arizona,Arizona,190.0,96,Northern Arizona,285.0,53,1,43
2020-12-09,@ Arizona,0,0,0,0,Cal State Bakersfield vs. Arizona,Arizona,290.0,85,Cal State Bakersfield,67.0,60,1,25
2020-12-12,@ Arizona,0,0,0,0,UTEP vs. Arizona,Arizona,165.0,69,UTEP,307.0,61,1,8
2020-12-19,@ Stanford,0,1,0,0,Arizona vs. Stanford,Stanford,54.0,78,Arizona,88.0,75,1,3
2020-12-22,@ Arizona,0,0,0,0,Montana vs. Arizona,Arizona,17.0,70,Montana,61.0,64,1,6
2020-12-28,@ Arizona,0,1,0,0,Colorado vs. Arizona,Arizona,22.0,88,Colorado,47.0,74,1,14
2020-12-31,@ Washington,0,1,0,0,Arizona vs. Washington,Washington,49.0,53,Arizona,17.0,80,0,-27
2021-01-02,@ Washington State,0,1,0,0,Arizona vs. Washington State,Washington State,136.0,82,Arizona,27.0,86,0,-4
2021-01-07,@ Arizona,0,1,0,0,Southern California vs. Arizona,Arizona,40.0,73,Southern California,3.0,87,0,-14
2021-01-09,@ Arizona,0,1,0,0,UCLA vs. Arizona,Arizona,22.0,76,UCLA,14.0,81,0,-5
